Artikelname;Anbietername;Wirkstoffe;ATC-C. (ADV);ATC 4 Steller;Stoffklasse;;;;;;
ACARBOSE ;1 A Pharma;Acarbose;A10BF01;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
ACICLOVIR ;1 A Pharma;Aciclovir;D06BB03;D06B;CHEMOTHERAPEUTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
ALENDRONSÄURE ;1 A Pharma;Alendronsäure natrium-3-Wasser;M05BA04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ALFACALCIDOL ;1 A Pharma;Alfacalcidol;A11CC03;A11C;VITAMIN A UND D, INKL. DEREN KOMBINATIONEN;;;;;;
ALFUZOSIN ;1 A Pharma;Alfuzosin hydrochlorid;G04CA01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
ALLOPURINOL ;1 A Pharma;Allopurinol;M04AA01;M04A;GICHTMITTEL;;;;;;
ALPRAZOLAM ;1 A Pharma;Alprazolam;N05BA12;N05B;ANXIOLYTIKA;;;;;;
AMANTADIN ;1 A Pharma;Amantadin hemisulfat;N04BB01;N04B;DOPAMINERGE MITTEL;;;;;;
AMIODARON ;1 A Pharma;Amiodaron hydrochlorid;C01BD01;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
AMLODIPIN ;1 A Pharma;Amlodipin besilat;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
AMOXI ;1 A Pharma;Amoxicillin-3-Wasser;J01CA04;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
ANASTROZOL ;1 A Pharma;Anastrozol;L02BG03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
ARIPIPRAZOL ;1 A Pharma;Aripiprazol;N05AX12;N05A;ANTIPSYCHOTIKA;;;;;;
ATENOLOL ;1 A Pharma;Atenolol;C07AB03;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
ATORVASTATIN ;1 A Pharma;Atorvastatin hemicalcium;C10AA05;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
AZATHIOPRIN ;1 A Pharma;Azathioprin;L04AX01;L04A;IMMUNSUPPRESSIVA;;;;;;
AZITHROMYCIN ;1 A Pharma;Azithromycin-1-Wasser;J01FA10;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
BENAZEPRIL ;1 A Pharma;Benazepril hydrochlorid;C09AA07;C09A;ACE-HEMMER, REIN;;;;;;
BEZAFIBRAT ;1 A Pharma;Bezafibrat;C10AB02;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
BICALUTAMID ;1 A Pharma;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
BIMATOPROST ;1 A Pharma;Bimatoprost;S01EE03;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
BISOPROLOL ;1 A Pharma;Bisoprolol hemifumarat;C07AB07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
BOSENTAN ;1 A Pharma;Bosentan-1-Wasser;C02KX01;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
BRINZOLAMID ;1 A Pharma;Brinzolamid;S01EC04;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
